faoCode,faoName,scientificName
ATP,Sand smelt,Atherina presbyter
ATQ,Cape silverside,Atherina breviceps
ATV,East Siberian cod,Arctogadus borisovi
ATW,Atopocottus tribranchius,Atopocottus tribranchius
ATY,Coral catshark,Atelomycterus marmoratus
AUA,Salmon catfish,Arius leptaspis
AUC,Engraved catfish,Arius caelatus
AUD,Blacktip sea catfish,Arius dussumieri
AUF,Hardhead sea catfish,Arius felis
AUG,Giant sea catfish,Arius gigas
AUI,Threadfin sea catfish,Arius arius
AUJ,Blackfin sea catfish,Arius jella
AUK,Kanakorum catshark,Aulohalaelurus kanakorum
AUL,Australian blackspot catshark,Aulohalaelurus labiosus
AUN,Giant seacatfish,Arius nasutus
AUQ,Arius manillensis,Arius manillensis
AUR,Rough-head sea catfish,Arius latiscutatus
AUT,Bronze catfish,Netuma bilineata
AUU,Canary damsel,Abudefduf luridus
AUV,Veined catfish,Arius venosus
AUW,Sona sea catfish,Arius sona
AUX,Giant catfish,Netuma thalassina
AUY,Flatmouth sea catfish,Arius platystomus
AVA,Atlantic anchoveta,Cetengraulis edentulus
AVB,Western Atlantic seabream,Archosargus rhomboidalis
AVD,Stout red shrimp,Aristeus virilis
AVE,Adventor elongatus,Adventor elongatus
AVH,Dotterel filefish,Aluterus heudelotii
AVM,American sand lance,Ammodytes americanus
AVN,Smooth lumpsucker,Aptocyclus ventricosus
AVO,Smooth alligatorfish,Anoplagonus inermis
AVP,Andriashevia aptera,Andriashevia aptera
AVQ,Sohal surgeonfish,Acanthurus sohal
AVR,Green jobfish,Aprion virescens
AVS,Small scaled brown slickhead,Alepocephalus australis
AVT,Southern ocean daggertooth,Anotopterus vorax
AVU,Northern spearnose poacher,Agonopsis vulsa
AVW,Antennarius pardalis,Antennarius pardalis
AVX,Sand smelts nei,Atherina spp
AVY,Aprion spp,Aprion spp
AWB,Canary moray,Gymnothorax bacalladoi
AWE,Geelbek croaker,Atractoscion aequidens
AWG,Dark moray,Gymnothorax afer
AWH,Acanthoplesiops hiatti,Acanthoplesiops hiatti
AWI,Orange filefish,Aluterus schoepfii
AWJ,Guinean sea catfish,Arius parkii
AWK,Sawtooth eels nei,Serrivomer spp
AWL,Striated frogfish,Antennarius striatus
AWM,Fangtooth moray,Enchelycore anatina
AWN,Artedidraco loennbergi,Artedidraco loennbergi
AWO,Artedidraco orianae,Artedidraco orianae
AWP,Gillbacker sea catfish,Aspistor parkeri
AWR,Softhead sea catfish,Amphiarius rugispinis
AWS,Artedidraco shackletoni,Artedidraco shackletoni
AWU,Arabian yellowfin seabream,Acanthopagrus arabicus
AWV,Spotted yellowfin seabream,Acanthopagrus sheim
AWX,Arius spp,Arius spp
AWY,Kukwari sea catfish,Arius phrygiatus
AXA,Carmine triplefin,Axoclinus carminalis
AXB,Slender platanna-klipfish,Cancelloxus burrelli
AXC,Bluntsnout smooth-head,Xenodermichthys copei
AXG,Long-armed crab,Carcinoplax longimanus
AXH,Red squirrelfish,Sargocentron hastatum
AXL,Acanthosphex leurynnis,Acanthosphex leurynnis
AXM,Asymbolus spp,Asymbolus spp
AXN,Barred sand bass,Paralabrax nebulifer
AXO,Baron mud lobster,Axiopsis baronai
